Date, Open, High, Low, Close
06/28/17, 0.852, 0.911, 0.845, 0.888
06/27/17, 0.789, 0.872, 0.766, 0.857
06/26/17, 0.748, 0.799, 0.741, 0.784
06/23/17, 0.771, 0.799, 0.738, 0.748
06/22/17, 0.850, 0.857, 0.776, 0.786
06/21/17, 0.832, 0.860, 0.827, 0.847
06/20/17, 0.822, 0.839, 0.791, 0.837
06/19/17, 0.837, 0.862, 0.814, 0.817
06/16/17, 0.855, 0.865, 0.832, 0.845
06/15/17, 0.903, 0.908, 0.842, 0.850
06/14/17, 0.873, 0.913, 0.855, 0.898
06/13/17, 0.806, 0.870, 0.801, 0.850
06/12/17, 0.799, 0.824, 0.794, 0.809
06/09/17, 0.781, 0.817, 0.781, 0.799
06/08/17, 0.809, 0.824, 0.781, 0.789
06/07/17, 0.840, 0.855, 0.809, 0.822
06/06/17, 0.806, 0.819, 0.789, 0.809
06/05/17, 0.806, 0.824, 0.796, 0.819
06/02/17, 0.817, 0.824, 0.781, 0.806
06/01/17, 0.867, 0.867, 0.781, 0.814
05/31/17, 0.771, 0.873, 0.766, 0.868
05/30/17, 0.728, 0.768, 0.705, 0.768
05/26/17, 0.705, 0.893, 0.692, 0.720
05/25/17, 0.756, 0.768, 0.690, 0.715
05/24/17, 0.725, 0.768, 0.720, 0.753
05/23/17, 0.657, 0.728, 0.654, 0.728
05/22/17, 0.690, 0.702, 0.659, 0.659
05/19/17, 0.720, 0.733, 0.682, 0.687
05/18/17, 0.713, 0.736, 0.703, 0.715
05/17/17, 0.703, 0.725, 0.690, 0.715
05/16/17, 0.690, 0.713, 0.677, 0.705
05/15/17, 0.669, 0.700, 0.657, 0.692
05/12/17, 0.674, 0.687, 0.644, 0.669
05/11/17, 0.695, 0.710, 0.664, 0.672
05/10/17, 0.710, 0.725, 0.682, 0.703
05/09/17, 0.697, 0.723, 0.687, 0.715
05/08/17, 0.685, 0.702, 0.677, 0.700
05/05/17, 0.697, 0.705, 0.680, 0.682
05/04/17, 0.736, 0.746, 0.690, 0.703
05/03/17, 0.710, 0.756, 0.690, 0.743
05/02/17, 0.647, 0.677, 0.639, 0.677
05/01/17, 0.667, 0.692, 0.631, 0.639
04/28/17, 0.695, 0.705, 0.652, 0.672
04/27/17, 0.718, 0.725, 0.685, 0.690
04/26/17, 0.723, 0.746, 0.715, 0.723
04/25/17, 0.728, 0.741, 0.692, 0.720
04/24/17, 0.713, 0.748, 0.705, 0.725
04/21/17, 0.718, 0.730, 0.695, 0.715
04/20/17, 0.743, 0.753, 0.715, 0.720
04/19/17, 0.751, 0.779, 0.738, 0.748
04/18/17, 0.756, 0.768, 0.746, 0.753
04/17/17, 0.758, 0.778, 0.746, 0.753
04/13/17, 0.776, 0.781, 0.748, 0.758
04/12/17, 0.766, 0.786, 0.758, 0.779
04/11/17, 0.756, 0.771, 0.748, 0.758
04/10/17, 0.761, 0.778, 0.748, 0.766
04/07/17, 0.773, 0.789, 0.751, 0.756
04/06/17, 0.768, 0.794, 0.756, 0.776
04/05/17, 0.753, 0.786, 0.741, 0.763
04/04/17, 0.720, 0.751, 0.718, 0.741
04/03/17, 0.738, 0.751, 0.713, 0.723
03/31/17, 0.743, 0.756, 0.725, 0.728
03/30/17, 0.751, 0.761, 0.736, 0.753
03/29/17, 0.748, 0.776, 0.728, 0.756
03/28/17, 0.733, 0.753, 0.723, 0.751
03/27/17, 0.720, 0.743, 0.715, 0.728
03/24/17, 0.725, 0.743, 0.702, 0.735
03/23/17, 0.738, 0.751, 0.718, 0.728
03/22/17, 0.743, 0.766, 0.730, 0.748
03/21/17, 0.695, 0.718, 0.672, 0.697
03/20/17, 0.687, 0.702, 0.662, 0.690
03/17/17, 0.680, 0.715, 0.672, 0.680
03/16/17, 0.692, 0.718, 0.639, 0.682
03/15/17, 0.763, 0.776, 0.700, 0.703
03/14/17, 0.682, 0.705, 0.657, 0.664
03/13/17, 0.611, 0.710, 0.601, 0.680
03/10/17, 0.484, 0.624, 0.472, 0.621
03/09/17, 0.510, 0.532, 0.472, 0.487
03/08/17, 0.563, 0.573, 0.507, 0.507
03/07/17, 0.537, 0.565, 0.527, 0.545
03/06/17, 0.530, 0.550, 0.527, 0.535
03/03/17, 0.497, 0.553, 0.484, 0.545
03/02/17, 0.467, 0.540, 0.441, 0.494
03/01/17, 0.423, 0.472, 0.398, 0.467
02/28/17, 0.428, 0.456, 0.393, 0.434
02/27/17, 0.383, 0.449, 0.380, 0.434
02/24/17, 0.396, 0.416, 0.357, 0.390
02/23/17, 0.467, 0.474, 0.380, 0.391
02/22/17, 0.472, 0.487, 0.451, 0.454
02/21/17, 0.499, 0.525, 0.459, 0.477
02/17/17, 0.507, 0.515, 0.484, 0.489
02/16/17, 0.515, 0.527, 0.494, 0.505
02/15/17, 0.517, 0.530, 0.502, 0.517
02/14/17, 0.497, 0.517, 0.489, 0.507
02/13/17, 0.502, 0.512, 0.479, 0.494
02/10/17, 0.505, 0.512, 0.494, 0.505
02/09/17, 0.510, 0.520, 0.497, 0.507
02/08/17, 0.522, 0.543, 0.510, 0.515
02/07/17, 0.482, 0.530, 0.477, 0.512
02/06/17, 0.484, 0.497, 0.467, 0.484
02/03/17, 0.477, 0.497, 0.469, 0.489
02/02/17, 0.499, 0.502, 0.474, 0.487
02/01/17, 0.482, 0.505, 0.474, 0.494
01/31/17, 0.479, 0.502, 0.454, 0.479
01/30/17, 0.492, 0.499, 0.472, 0.482
01/27/17, 0.487, 0.505, 0.472, 0.494
01/26/17, 0.482, 0.497, 0.464, 0.482
01/25/17, 0.469, 0.494, 0.467, 0.472
01/24/17, 0.461, 0.477, 0.449, 0.472
01/23/17, 0.456, 0.472, 0.444, 0.462
01/20/17, 0.456, 0.477, 0.444, 0.462
01/19/17, 0.462, 0.479, 0.441, 0.446
01/18/17, 0.522, 0.530, 0.456, 0.467
01/17/17, 0.517, 0.535, 0.507, 0.517
01/15/17, 0.520, 0.520, 0.520, 0.525
01/13/17, 0.522, 0.537, 0.510, 0.520
01/12/17, 0.507, 0.527, 0.489, 0.525
01/11/17, 0.507, 0.530, 0.494, 0.510
01/10/17, 0.496, 0.529, 0.493, 0.519
01/09/17, 0.506, 0.511, 0.478, 0.503
01/06/17, 0.496, 0.514, 0.486, 0.508
01/05/17, 0.491, 0.508, 0.480, 0.501
01/04/17, 0.475, 0.516, 0.458, 0.488
01/03/17, 0.416, 0.473, 0.401, 0.473
01/01/17, 0.416, 0.416, 0.416, 0.378
12/30/16, 0.370, 0.434, 0.309, 0.416
12/29/16, 0.454, 0.456, 0.322, 0.378
12/28/16, 0.456, 0.497, 0.449, 0.467
12/27/16, 0.416, 0.469, 0.406, 0.469
12/23/16, 0.406, 0.428, 0.406, 0.421
12/22/16, 0.451, 0.456, 0.383, 0.416
12/21/16, 0.479, 0.499, 0.444, 0.446
12/20/16, 0.441, 0.456, 0.431, 0.454
12/19/16, 0.454, 0.467, 0.423, 0.436
12/16/16, 0.469, 0.484, 0.441, 0.459
12/15/16, 0.489, 0.507, 0.375, 0.464
12/14/16, 0.477, 0.510, 0.474, 0.479
12/13/16, 0.399, 0.468, 0.394, 0.435
12/12/16, 0.386, 0.417, 0.386, 0.409
12/09/16, 0.381, 0.414, 0.363, 0.389
12/08/16, 0.369, 0.399, 0.353, 0.376
12/07/16, 0.353, 0.384, 0.341, 0.366
12/06/16, 0.304, 0.348, 0.297, 0.348
12/05/16, 0.319, 0.342, 0.291, 0.297
12/02/16, 0.322, 0.345, 0.307, 0.330
12/01/16, 0.373, 0.378, 0.304, 0.325
11/30/16, 0.360, 0.383, 0.350, 0.375
11/29/16, 0.304, 0.307, 0.238, 0.243
11/28/16, 0.327, 0.350, 0.294, 0.297
11/25/16, 0.335, 0.342, 0.319, 0.327
11/23/16, 0.342, 0.350, 0.325, 0.342
11/22/16, 0.266, 0.269, 0.241, 0.248
11/21/16, 0.284, 0.291, 0.248, 0.259
11/18/16, 0.302, 0.307, 0.264, 0.279
11/17/16, 0.309, 0.317, 0.279, 0.286
11/16/16, 0.302, 0.322, 0.279, 0.307
11/15/16, 0.285, 0.305, 0.282, 0.304
11/14/16, 0.292, 0.310, 0.275, 0.290
11/10/16, 0.295, 0.310, 0.282, 0.297
11/09/16, 0.275, 0.313, 0.262, 0.297
11/08/16, 0.264, 0.291, 0.246, 0.277
11/07/16, 0.241, 0.279, 0.228, 0.266
11/04/16, 0.236, 0.256, 0.215, 0.246
11/03/16, 0.236, 0.254, 0.223, 0.233
11/02/16, 0.215, 0.261, 0.198, 0.238
